Year,Month,Day,Hour,Minute,Temperature,DHI,GHI,DNI,Relative Humidity,Solar Zenith Angle,Precipitable Water,Pressure,Wind Speed,Dew Point,Cloud Type,Surface Albedo
2020,1,3,18,30,10.8,65,233,616,85.49,74.15,1.7000000000000002,1002,1.4000000000000001,8.5,0,0.1
2020,1,3,19,30,11.4,103,242,427,83.79,71.07000000000001,1.6,1001,1.4000000000000001,8.8,8,0.1
2020,1,3,20,30,12,136,168,97,80.87,70.48,1.5,1000,1.4000000000000001,8.8,6,0.1
2020,1,3,21,30,12.100000000000001,120,154,114,77.91,72.43,1.5,999,1.4000000000000001,8.4,6,0.1
2020,1,3,22,30,11.700000000000001,56,56,0,75.74,76.72,1.5,998,1.4000000000000001,7.6000000000000005,6,0.1
2020,1,3,23,30,11.3,29,29,0,73.17,82.92,1.6,998,1.4000000000000001,6.7,6,0.1
2020,1,4,0,30,10.700000000000001,1,1,0,70.96000000000001,90.2,1.6,996,1.5,5.6000000000000005,8,0.1
2020,1,4,1,30,10.700000000000001,0,0,0,66.74,99.66,1.6,995,1.7000000000000002,4.800000000000001,8,0.1
2020,1,4,2,30,10.9,0,0,0,63.940000000000005,109.25,1.7000000000000002,994,1.8,4.3,6,0.1
2020,1,4,3,30,10.9,0,0,0,65.12,119.24000000000001,1.9000000000000001,993,1.7000000000000002,4.6000000000000005,6,0.1
2020,1,4,4,30,10.4,0,0,0,72.49,129.31,2.1,994,1.5,5.7,6,0.1
2020,1,4,5,30,9.4,0,0,0,85.32000000000001,139.03,2,995,1.2000000000000002,7.1000000000000005,8,0.1
2020,1,4,6,30,8,0,0,0,95.05,147.62,1.8,997,1.1,7.300000000000001,8,0.1
2020,1,4,7,30,6.800000000000001,0,0,0,95.98,153.63,1.6,998,1,6.2,6,0.1
2020,1,4,8,30,6.1000000000000005,0,0,0,95.23,154.94,1.4000000000000001,1000,0.9,5.4,6,0.1
2020,1,4,9,30,5.800000000000001,0,0,0,94.32000000000001,150.87,1.2000000000000002,1002,0.9,5,6,0.1
2020,1,4,10,30,5.6000000000000005,0,0,0,93.93,143.24,1,1003,1,4.7,6,0.1
2020,1,4,11,30,5.2,0,0,0,93.21000000000001,133.92000000000002,0.8,1005,1,4.2,6,0.1
2020,1,4,12,30,4.7,0,0,0,91.84,123.95,0.7000000000000001,1006,1,3.5,2,0.1
2020,1,4,13,30,4.4,0,0,0,90.28,113.86,0.7000000000000001,1008,1,2.9000000000000004,2,0.1
2020,1,4,14,30,4.2,0,0,0,89.5,104.04,0.8,1009,1,2.6,2,0.1
2020,1,4,15,30,4.2,0,0,0,89.16,94.79,0.9,1011,1,2.6,2,0.1
2020,1,4,16,30,4.5,23,27,58,88.8,86.25,0.9,1012,1.1,2.8000000000000003,4,0.1
2020,1,4,17,30,5,63,103,214,89.12,79.34,1,1013,1.2000000000000002,3.4000000000000004,4,0.1
2020,1,4,18,30,5.6000000000000005,96,136,145,88.86,74.08,1.1,1014,1.3,3.9000000000000004,4,0.1
2020,1,4,19,30,5.800000000000001,104,242,424,89.48,70.99,1.1,1014,1.4000000000000001,4.2,0,0.1
2020,1,4,20,30,5.800000000000001,105,247,422,90.44,70.37,1.2000000000000002,1014,1.4000000000000001,4.4,0,0.1
2020,1,4,21,30,5.9,102,207,344,90.64,72.3,1.2000000000000002,1015,1.4000000000000001,4.5,4,0.1
2020,1,4,22,30,5.800000000000001,87,112,106,92.74,76.58,1.2000000000000002,1015,1.2000000000000002,4.7,7,0.1
2020,1,4,23,30,5.800000000000001,37,41,32,93.58,82.77,1.1,1016,1.2000000000000002,4.800000000000001,7,0.1
2020,1,5,0,30,5.4,2,2,3,95.62,90.06,1.2000000000000002,1016,0.9,4.800000000000001,4,0.1
2020,1,5,1,30,5.4,0,0,0,96.11,99.51,1.2000000000000002,1016,1,4.800000000000001,4,0.1
2020,1,5,2,30,5.4,0,0,0,96.39,109.10000000000001,1.2000000000000002,1016,1,4.9,4,0.1
2020,1,5,3,30,5.2,0,0,0,97.29,119.09,1.2000000000000002,1016,0.9,4.800000000000001,8,0.1
2020,1,5,4,30,4.9,0,0,0,97.3,129.17000000000002,1.2000000000000002,1016,0.9,4.5,7,0.1
